seed,model,calibration,apply_prior,n_train_p,n_train_q,prior_shift,accuracy,f1,nll,brier,ece,saturation,djs_est,djs_gt,djs_error,val_nll,val_brier,val_ece,calibrator_extra,case,case_label,protocol
3,LogRegPol,temperature,True,100,100,0.0,0.815,0.8177339901477833,0.4430373477076721,0.13894533109628934,0.0858527736303533,0.02,0.25010983285227306,0.20514431595802307,0.04496551689424999,0.485808269991781,0.15789030350192104,0.07892342645076622,1.0979783739698565,use_case_1,UC1,temperature_plus_prior
3,RF,raw,False,100,100,0.0,0.765,0.7707317073170732,0.491866178994319,0.160108,0.07654999999999998,0.0,0.20128100156562623,0.20514431595802307,0.003863314392396844,0.5697912201063612,0.1904221875,0.08594999999999998,,use_case_1,UC1,raw_no_prior
3,RF,raw,True,100,100,0.0,0.765,0.7707317073170732,0.491866178994319,0.160108,0.07654999999999999,0.0,0.20128100156562623,0.20514431595802307,0.003863314392396844,0.5697912201063612,0.1904221875,0.08594999999999998,,use_case_1,UC1,raw_plus_prior
3,RF,platt,True,100,100,0.0,0.76,0.76,0.4966090019196182,0.16166786393960172,0.09399774798261126,0.0,0.19653817864032708,0.20514431595802307,0.008606137317695994,0.5697912201063612,0.1904221875,0.08594999999999998,,use_case_1,UC1,platt_plus_prior
3,RF,isotonic,True,100,100,0.0,0.765,0.7729468599033816,0.48100151102180466,0.15845643652783606,0.0598426975303361,0.045,0.21214566953814062,0.20514431595802307,0.007001353580117553,0.5697912201063612,0.1904221875,0.08594999999999998,,use_case_1,UC1,isotonic_plus_prior
3,RF,temperature,True,100,100,0.0,0.765,0.7707317073170732,0.4968232527926621,0.16184867641182488,0.09056275624228788,0.0,0.19632392776728325,0.20514431595802307,0.008820388190739825,0.5697912201063612,0.1904221875,0.08594999999999998,1.1272710768334255,use_case_1,UC1,temperature_plus_prior
3,XGBoost,raw,False,100,100,0.0,0.775,0.7715736040609137,0.6074247150775315,0.17536444932016587,0.1352130235673394,0.3,0.08572246548241391,0.20514431595802307,0.11942185047560916,0.67131338003217,0.19479986245528075,0.15160781404993032,,use_case_1,UC1,raw_no_prior
3,XGBoost,raw,True,100,100,0.0,0.775,0.7715736040609137,0.6074247150775315,0.17536444932016587,0.1352130235673394,0.3,0.08572246548241369,0.20514431595802307,0.11942185047560938,0.67131338003217,0.19479986245528075,0.15160781404993032,,use_case_1,UC1,raw_plus_prior
3,XGBoost,platt,True,100,100,0.0,0.765,0.7589743589743589,0.5044662574775972,0.16393563702035152,0.05676955560960347,0.0,0.18868092308234796,0.20514431595802307,0.01646339287567511,0.67131338003217,0.19479986245528075,0.15160781404993032,,use_case_1,UC1,platt_plus_prior
3,XGBoost,isotonic,True,100,100,0.0,0.77,0.7628865979381443,0.6443385162555114,0.16830053922708474,0.04281509544037159,0.07,0.04880866430443376,0.20514431595802307,0.1563356516535893,0.67131338003217,0.19479986245528075,0.15160781404993032,,use_case_1,UC1,isotonic_plus_prior
3,XGBoost,temperature,True,100,100,0.0,0.775,0.7715736040609137,0.5044190407829129,0.16396062129488054,0.05838801927892966,0.0,0.1887281397770325,0.20514431595802307,0.01641617618099056,0.67131338003217,0.19479986245528075,0.15160781404993032,2.3592026911348887,use_case_1,UC1,temperature_plus_prior
3,MLP,raw,False,100,100,0.0,0.725,0.717948717948718,1.4288275354649236,0.22427788925843903,0.22608581838303954,0.72,-0.7356803505650694,0.20514431595802307,0.9408246665230925,1.668915575179208,0.31374159237585514,0.3126465278923494,,use_case_1,UC1,raw_no_prior
3,MLP,raw,True,100,100,0.0,0.725,0.717948717948718,1.4288275402787167,0.22427788925843956,0.22608581356924146,0.72,-0.7356803505650645,0.20514431595802307,0.9408246665230876,1.668915575179208,0.31374159237585514,0.3126465278923494,,use_case_1,UC1,raw_plus_prior
3,MLP,platt,True,100,100,0.0,0.725,0.7150259067357513,0.5342682578582928,0.17769466647051665,0.08465194786937151,0.0,0.15887892423736383,0.20514431595802307,0.046265391720659244,1.668915575179208,0.31374159237585514,0.3126465278923494,,use_case_1,UC1,platt_plus_prior
3,MLP,isotonic,True,100,100,0.0,0.715,0.6815642458100558,0.6787384831557856,0.18571522491681997,0.06060374582921786,0.09,0.014408699471350928,0.20514431595802307,0.19073561648667214,1.668915575179208,0.31374159237585514,0.3126465278923494,,use_case_1,UC1,isotonic_plus_prior
3,MLP,temperature,True,100,100,0.0,0.725,0.717948717948718,0.5337370967999691,0.1774003630582361,0.07673115976337448,0.0,0.15941008533169143,0.20514431595802307,0.04573423062633164,1.668915575179208,0.31374159237585514,0.3126465278923494,8.21848306233443,use_case_1,UC1,temperature_plus_prior
4,LogReg,raw,False,100,100,0.0,0.76,0.7623762376237624,0.5114986277906896,0.16867944034565652,0.10661021448798343,0.115,0.18164855276925562,0.2614777982234955,0.07982924545423986,0.3836561644192878,0.12228485586249135,0.06884142372029288,,use_case_1,UC1,raw_no_prior
4,LogReg,raw,True,100,100,0.0,0.76,0.7623762376237624,0.5114986277906897,0.16867944034565652,0.10661021448798344,0.115,0.18164855276925562,0.2614777982234955,0.07982924545423986,0.3836561644192878,0.12228485586249135,0.06884142372029288,,use_case_1,UC1,raw_plus_prior
4,LogReg,platt,True,100,100,0.0,0.75,0.7448979591836735,0.5201672511062607,0.17124815422137535,0.1468316970101916,0.135,0.17297992945368457,0.2614777982234955,0.08849786876981092,0.3836561644192878,0.12228485586249135,0.06884142372029288,,use_case_1,UC1,platt_plus_prior
4,LogReg,isotonic,True,100,100,0.0,0.76,0.7623762376237624,0.7979845676358138,0.17847340435121573,0.10009640280159124,0.26,-0.10483738707586865,0.2614777982234955,0.36631518529936413,0.3836561644192878,0.12228485586249135,0.06884142372029288,,use_case_1,UC1,isotonic_plus_prior
4,LogReg,temperature,True,100,100,0.0,0.76,0.7623762376237624,0.5146555878293461,0.1692806874483761,0.11646534088737401,0.115,0.17849159273059922,0.2614777982234955,0.08298620549289626,0.3836561644192878,0.12228485586249135,0.06884142372029288,0.9737092661137273,use_case_1,UC1,temperature_plus_prior
4,LogRegPol,raw,False,100,100,0.0,0.76,0.7623762376237624,0.5114986277906896,0.16867944034565652,0.10661021448798343,0.115,0.18164855276925562,0.2614777982234955,0.07982924545423986,0.3836561644192878,0.12228485586249135,0.06884142372029288,,use_case_1,UC1,raw_no_prior
4,LogRegPol,raw,True,100,100,0.0,0.76,0.7623762376237624,0.5114986277906897,0.16867944034565652,0.10661021448798344,0.115,0.18164855276925562,0.2614777982234955,0.07982924545423986,0.3836561644192878,0.12228485586249135,0.06884142372029288,,use_case_1,UC1,raw_plus_prior
4,LogRegPol,platt,True,100,100,0.0,0.75,0.7448979591836735,0.5201672511062607,0.17124815422137535,0.1468316970101916,0.135,0.17297992945368457,0.2614777982234955,0.08849786876981092,0.3836561644192878,0.12228485586249135,0.06884142372029288,,use_case_1,UC1,platt_plus_prior
4,LogRegPol,isotonic,True,100,100,0.0,0.76,0.7623762376237624,0.7979845676358138,0.17847340435121573,0.10009640280159124,0.26,-0.10483738707586865,0.2614777982234955,0.36631518529936413,0.3836561644192878,0.12228485586249135,0.06884142372029288,,use_case_1,UC1,isotonic_plus_prior
4,LogRegPol,temperature,True,100,100,0.0,0.76,0.7623762376237624,0.5146555878293461,0.1692806874483761,0.11646534088737401,0.115,0.17849159273059922,0.2614777982234955,0.08298620549289626,0.3836561644192878,0.12228485586249135,0.06884142372029288,0.9737092661137273,use_case_1,UC1,temperature_plus_prior
4,RF,raw,False,100,100,0.0,0.765,0.7729468599033816,0.4870194112148769,0.161737875,0.10609999999999999,0.01,0.20612776934506838,0.2614777982234955,0.055350028878427104,0.40573080936190153,0.12525353125000002,0.11468749999999998,,use_case_1,UC1,raw_no_prior
4,RF,raw,True,100,100,0.0,0.765,0.7729468599033816,0.48701941121487685,0.161737875,0.10609999999999999,0.01,0.20612776934506838,0.2614777982234955,0.055350028878427104,0.40573080936190153,0.12525353125000002,0.11468749999999998,,use_case_1,UC1,raw_plus_prior
