case_label,model,protocol,djs_error_mean,djs_error_std,ece_mean,ece_std,nll_mean,nll_std,brier_mean,brier_std,acc_mean,acc_std,saturation_mean
UC1,RF,raw_no_prior,0.05377248493114602,0.03459579114785379,0.08105,0.014766812452252514,0.5414798297042719,0.04916481665022299,0.181509125,0.01984740092187175,0.725,0.04198213905936661,0.002
UC1,RF,raw_plus_prior,0.05377248493114599,0.03459579114785379,0.08105,0.01476681245225251,0.5414798297042718,0.049164816650223014,0.181509125,0.01984740092187175,0.725,0.04198213905936661,0.002
UC1,RF,temperature_plus_prior,0.05908273916877569,0.0342712204359148,0.08511881046706886,0.016867176970372613,0.5467900839419014,0.04385889511540008,0.18289580262526414,0.018322741048346622,0.725,0.04198213905936661,0.029000000000000005
UC1,XGBoost,isotonic_plus_prior,0.21007125858404177,0.12498064873909179,0.06434687520868175,0.025790388411406615,0.6977786033571676,0.14292717491943235,0.190431358246626,0.01523672826470643,0.729,0.03847076812334271,0.095
UC1,XGBoost,platt_plus_prior,0.07044428254485284,0.04179614858398045,0.07708254964667986,0.016157895367155988,0.5581516273179786,0.03242175359255889,0.1862119104140567,0.014973297356591319,0.721,0.04021815510438037,0.014000000000000002
UC1,XGBoost,raw_no_prior,0.16168494257927504,0.02932994074038722,0.14589504487684463,0.015988693478435553,0.6493922873524008,0.031165748244896666,0.20017728836275187,0.019307366560299345,0.727,0.04698403984333405,0.188
UC1,XGBoost,raw_plus_prior,0.16168494257927507,0.029329940740387056,0.14589504487684463,0.015988693478435553,0.649392287352401,0.031165748244896666,0.20017728836275187,0.019307366560299345,0.727,0.04698403984333405,0.188
UC1,XGBoost,temperature_plus_prior,0.06885622899932664,0.040168466281405364,0.07960135643054686,0.019417022881073435,0.5565635737724526,0.03225793984922541,0.18602589858644514,0.014868533079729457,0.727,0.04698403984333405,0.009
UC6 ratio=0.1,LogReg,isotonic_plus_prior,0.1978550168542838,0.26596798583145637,0.3054413432673238,0.0365397422324887,0.5667771323289889,0.07522758695302681,0.19226233564850997,0.01997009215659971,0.6981818181818181,0.07804427647758094,0.16727272727272727
UC6 ratio=0.1,LogReg,platt_plus_prior,0.08120807330299461,0.022005452885053338,0.3688091689719327,0.033776585541360316,0.6061330704250384,0.04817345074035464,0.21000034333204617,0.021570475674650057,0.6672727272727272,0.052064803866459446,0.0
UC6 ratio=0.1,LogReg,raw_no_prior,0.4782898717574834,0.21216782847146118,0.0644551156337763,0.01613534799771482,0.25482314035925724,0.0389026064608232,0.06999806725549848,0.009396067877467357,0.9163636363636364,0.007606000241218893,0.12727272727272726
UC6 ratio=0.1,LogReg,raw_plus_prior,0.10008945990957416,0.03307155525377662,0.32665011641582253,0.0411714739440497,0.5566043558642113,0.06912205720864123,0.18868718787322544,0.029703225740094468,0.7254545454545455,0.0634412593540651,0.0
UC6 ratio=0.1,LogReg,temperature_plus_prior,0.09136811207232506,0.025365620571977672,0.35064101054691443,0.03324694619266955,0.5912336593284767,0.04775826397031446,0.2037608689667562,0.020859398822362697,0.6890909090909091,0.05238131014868338,0.0
UC6 ratio=0.1,LogRegPol,isotonic_plus_prior,0.1840505691412482,0.2940606177241747,0.3043026801401375,0.0495076012908013,0.5717590811648792,0.089484751773139,0.19255238953185758,0.031132239186361536,0.72,0.1398641607813609,0.15999999999999998
UC6 ratio=0.1,LogRegPol,platt_plus_prior,0.07429065373784265,0.04285338328996078,0.3630259251108784,0.031412505817922945,0.6128042873359762,0.04533501476510202,0.2130248140381112,0.020422028350039395,0.6545454545454545,0.06428243465332245,0.0
UC6 ratio=0.1,LogRegPol,raw_no_prior,0.09094752368052947,0.04570080963488383,0.31815736822051904,0.04851357439519984,0.5522830690663041,0.07101214879817183,0.18729898021954977,0.030122645034115214,0.7290909090909091,0.08166652611445711,0.0018181818181818182
UC6 ratio=0.1,LogRegPol,raw_plus_prior,0.467837813947426,0.11762997093547822,0.7313960006916714,0.053731694875327606,1.794467013105016,0.2099496883525242,0.6232224723915982,0.07573986876017214,0.14545454545454545,0.059958663446695086,0.03272727272727273
UC6 ratio=0.1,LogRegPol,temperature_plus_prior,0.4441972365677266,0.10860275316522595,0.7033655396822727,0.06956232613446663,1.7328777927943046,0.22961105213081376,0.5919118678864377,0.08199206351102524,0.18545454545454546,0.09547618802266271,0.04363636363636363
UC6 ratio=0.1,MLP,isotonic_plus_prior,0.23426775704327288,0.27667856538545504,0.3399896361660979,0.057755797634683186,0.613850019410793,0.11759285751274154,0.2160119485253332,0.03864767900343899,0.6072727272727272,0.19586637374403082,0.18545454545454546
UC6 ratio=0.1,MLP,platt_plus_prior,0.1084056709174189,0.041919308977963574,0.3683451985190488,0.03757545489267954,0.6277805899267727,0.07028872454179225,0.22312170788291158,0.027409952556503876,0.5636363636363637,0.08743356391668797,0.0018181818181818182
UC6 ratio=0.1,MLP,raw_no_prior,1.0686306987212217,0.7777837462501629,0.07477264836430549,0.024240206030074898,0.352043243498296,0.13689415118957815,0.07873410717927054,0.019763055960500975,0.9109090909090909,0.011853095282186636,0.5272727272727272
UC6 ratio=0.1,MLP,raw_plus_prior,0.5187608338226274,0.4165969556408665,0.19894800493562187,0.023873278114926635,0.48713576249401375,0.09703141204931351,0.15355977665892878,0.02810852886249586,0.7581818181818182,0.03781206244197351,0.2963636363636364
UC6 ratio=0.1,MLP,temperature_plus_prior,0.17398633805456618,0.07410718315715034,0.4122746039467179,0.09431652209857351,0.8055596602010237,0.21610001846638108,0.2977081877115423,0.08619846584934784,0.5054545454545455,0.12704525126020494,0.08181818181818182
