seed,model,calibration,prior_order,accuracy,nll,brier,ece,djs_est,djs_gt,djs_error,saturation,case,case_label,protocol
2,RF,temperature,prior->calibration,0.7090909090909091,0.4952567072273986,0.1705240316693643,0.2791451069048791,0.1430706864710637,0.12998774647712708,0.013082939993936615,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
2,RF,temperature,calibration->prior,0.34545454545454546,1.0207349227764346,0.3844177086468784,0.4839496475968656,0.04741951108057285,0.12998774647712708,0.08256823539655422,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
2,XGBoost,platt,prior->calibration,0.9090909090909091,0.25910731717144475,0.07337077859885831,0.09414233441791016,-0.32169120845691734,0.12998774647712708,0.4516789549340444,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
2,XGBoost,platt,calibration->prior,0.6636363636363637,0.6390037334314796,0.223746500523678,0.39407732152627406,0.12524192230020714,0.12998774647712708,0.004745824176919933,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
2,XGBoost,isotonic,prior->calibration,0.9090909090909091,0.23755602634270157,0.06752013808838003,0.06980761125904894,-0.20487779907304793,0.12998774647712708,0.334865545550175,0.045454545454545456,use_case_6,UC6 ratio=0.1,prior->calibration
2,XGBoost,isotonic,calibration->prior,0.4727272727272727,0.5830090596540143,0.20483560663505887,0.3416058267157116,0.17765413883752768,0.12998774647712708,0.0476663923604006,0.045454545454545456,use_case_6,UC6 ratio=0.1,calibration->prior
2,XGBoost,temperature,prior->calibration,0.7454545454545455,0.5073328394440014,0.16673319611487453,0.3055703746291647,0.20567087058657912,0.12998774647712708,0.07568312410945205,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
2,XGBoost,temperature,calibration->prior,0.5909090909090909,0.7389496281195149,0.264633477129883,0.42233233199201453,0.16418491199343632,0.12998774647712708,0.03419716551630925,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
3,RF,platt,prior->calibration,0.9090909090909091,0.310875324557749,0.0835547080906553,0.003080218646533961,-0.6005701557576987,0.13160526752471924,0.7321754232824179,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
3,RF,platt,calibration->prior,0.4090909090909091,0.681628148711139,0.2443490447104462,0.3965108960740866,-0.0200957287514113,0.13160526752471924,0.15170099627613054,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
3,RF,isotonic,prior->calibration,0.9090909090909091,0.3254669942113374,0.08672088388358098,0.06071987786582986,-0.635248459367202,0.13160526752471924,0.7668537268919212,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
3,RF,isotonic,calibration->prior,0.6454545454545455,0.7100990815567461,0.2562210008142235,0.39357062525623276,-0.05974663332101127,0.13160526752471924,0.1913519008457305,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
3,RF,temperature,prior->calibration,0.6454545454545455,0.6407290383154386,0.2019963673435882,0.3137722041755527,-0.7541324805831054,0.13160526752471924,0.8857377481078247,0.32727272727272727,use_case_6,UC6 ratio=0.1,prior->calibration
3,RF,temperature,calibration->prior,0.38181818181818183,1.1402017279194716,0.39788828745848076,0.4953072388183394,-0.9908012844173172,0.13160526752471924,1.1224065519420363,0.32727272727272727,use_case_6,UC6 ratio=0.1,calibration->prior
3,XGBoost,platt,prior->calibration,0.9090909090909091,0.305844008360006,0.08281893372603297,0.018164656096961728,-0.5696951639787143,0.13160526752471924,0.7013004315034336,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
3,XGBoost,platt,calibration->prior,0.5545454545454546,0.6769330981950323,0.24190513493773783,0.3938954611407686,-0.004025036792267511,0.13160526752471924,0.13563030431698675,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
3,XGBoost,isotonic,prior->calibration,0.9090909090909091,0.3221878032529916,0.08409819253963077,0.052795883361921106,-0.6548732091948891,0.13160526752471924,0.7864784767196084,0.06363636363636363,use_case_6,UC6 ratio=0.1,prior->calibration
3,XGBoost,isotonic,calibration->prior,0.43636363636363634,0.6487508865940752,0.23657872917493727,0.33433220345910036,-0.06953580098752565,0.13160526752471924,0.2011410685122449,0.06363636363636363,use_case_6,UC6 ratio=0.1,calibration->prior
3,XGBoost,temperature,prior->calibration,0.7,0.5894954301573623,0.20201515207531542,0.28700604927428147,-0.11970159852123985,0.13160526752471924,0.2513068660459591,0.0,use_case_6,UC6 ratio=0.1,prior->calibration
3,XGBoost,temperature,calibration->prior,0.5,0.8160874336488796,0.29236696796344736,0.394582283044539,-0.12982612860786613,0.13160526752471924,0.26143139613258537,0.0,use_case_6,UC6 ratio=0.1,calibration->prior
